CountyFIPS,StateDesc,StateAbbr,CountyName,scoring_referent,stroke_belt,cle8_point,cle8_lower,cle8_upper,cle8_range,cvh_cat_point,cvh_cat_lower,cvh_cat_upper,cvh_cat_stable,behavior_point,behavior_lower,behavior_upper,behavior_range,factor_point,factor_lower,factor_upper,factor_range,lpa_point,lpa_lower,lpa_upper,lpa_range,lpa_ci_width_pp,smoking_point,smoking_lower,smoking_upper,smoking_range,smoking_ci_width_pp,sleep_point,sleep_lower,sleep_upper,sleep_range,sleep_ci_width_pp,diet_point,diet_lower,diet_upper,diet_range,diet_ci_width_pp,bp_point,bp_lower,bp_upper,bp_range,bp_ci_width_pp,chol_point,chol_lower,chol_upper,chol_range,chol_ci_width_pp,glucose_point,glucose_lower,glucose_upper,glucose_range,glucose_ci_width_pp,obesity_point,obesity_lower,obesity_upper,obesity_range,obesity_ci_width_pp
48119,Texas,TX,Delta,within_state,partial,86.25,86.25,78.75,7.5,High,High,Moderate,FALSE,90,90,85,5,82.5,82.5,72.5,10,100,100,90,10,7.900000000000002,90,90,90,0,3.9000000000000004,90,90,80,10,14.5,80,80,80,0,3.6000000000000014,70,70,60,10,8.2,80,80,60,20,9.599999999999998,90,90,90,0,3.0999999999999996,90,90,80,10,16.400000000000002
48121,Texas,TX,Denton,within_state,partial,93.75,90,97.5,7.5,High,High,High,TRUE,100,97.5,100,2.5,87.5,82.5,95,12.5,100,100,100,0,5.700000000000003,100,100,100,0,2.700000000000001,100,90,100,10,8.899999999999999,100,100,100,0,2.5,100,100,100,0,6.599999999999998,50,30,80,50,7.699999999999996,100,100,100,0,2.5999999999999996,100,100,100,0,9.099999999999998
48123,Texas,TX,DeWitt,within_state,partial,45,48.75,42.5,6.25,Low,Low,Low,TRUE,52.5,55,47.5,7.5,37.5,42.5,37.5,5,60,60,50,10,9.2,60,60,60,0,4.200000000000001,60,70,50,20,14.799999999999997,30,30,30,0,4.800000000000001,40,40,40,0,8.600000000000001,30,30,30,0,9.399999999999999,50,50,50,0,3.5,30,50,30,20,17
48125,Texas,TX,Dickens,within_state,partial,66.25,71.25,58.75,12.5,Moderate,Moderate,Moderate,TRUE,67.5,72.5,62.5,10,65,70,55,15,70,70,60,10,9.100000000000001,50,60,50,10,4.200000000000001,80,90,70,20,15.100000000000001,70,70,70,0,3.6999999999999993,60,60,50,10,8.399999999999999,50,60,40,20,9.599999999999998,70,70,60,10,3.3999999999999986,80,90,70,20,17.1
48127,Texas,TX,Dimmit,within_state,partial,10,10,10,0,Low,Low,Low,TRUE,10,10,10,0,10,10,10,0,10,10,10,0,11,10,10,10,0,5.300000000000001,10,10,10,0,14.699999999999996,10,10,10,0,6.100000000000001,10,10,10,0,8.5,10,10,10,0,9.600000000000001,10,10,10,0,5,10,10,10,0,16.800000000000004
48129,Texas,TX,Donley,within_state,partial,72.5,63.75,73.75,10,Moderate,Moderate,Moderate,TRUE,70,72.5,65,7.5,75,55,82.5,27.5,80,80,70,10,8.899999999999999,50,50,50,0,4.500000000000002,70,80,60,20,15,80,80,80,0,3.400000000000002,60,30,80,50,4.299999999999997,80,20,100,80,4.800000000000004,80,80,80,0,3.299999999999999,80,90,70,20,16.8
48131,Texas,TX,Duval,within_state,partial,20,28.75,17.5,11.25,Low,Low,Low,TRUE,22.5,30,20,10,17.5,27.5,15,12.5,10,10,10,0,11.699999999999996,50,60,50,10,4.800000000000001,20,40,10,30,16.200000000000003,10,10,10,0,5.5000000000000036,30,40,30,10,8.899999999999999,10,20,10,10,10.200000000000003,10,10,10,0,4.600000000000001,20,40,10,30,18.5
48133,Texas,TX,Eastland,within_state,partial,55,62.5,52.5,10,Moderate,Moderate,Moderate,TRUE,52.5,60,47.5,12.5,57.5,65,57.5,7.5,60,70,60,10,9.299999999999997,30,30,20,10,4.699999999999999,50,70,40,30,15.099999999999994,70,70,70,0,3.8999999999999986,30,40,40,0,8.400000000000002,40,40,40,0,9.400000000000002,80,90,80,10,3.3000000000000007,80,90,70,20,16.6
48135,Texas,TX,Ector,within_state,partial,55,57.5,51.25,6.25,Moderate,Moderate,Moderate,TRUE,60,60,55,5,50,55,47.5,7.5,30,30,30,0,9.800000000000004,80,80,80,0,4,90,90,80,10,14.000000000000004,40,40,30,10,4.5,70,70,60,10,8.2,60,60,60,0,9.3,30,40,30,10,3.8000000000000007,40,50,40,10,16.1
48137,Texas,TX,Edwards,within_state,partial,21.25,21.25,27.5,6.25,Low,Low,Low,TRUE,20,22.5,15,7.5,22.5,20,40,20,10,10,10,0,10.299999999999997,20,20,20,0,4.700000000000003,40,50,20,30,15.399999999999999,10,10,10,0,5.299999999999997,40,30,60,30,5.700000000000003,20,10,80,70,6.199999999999999,10,10,10,0,4.199999999999999,20,30,10,20,17.699999999999996
