"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Knox County, KY","21121",355,89494,396.7,355.4,437.9,21.1
,"Larue County, KY","21123",162,45494,356.1,301.3,410.9,28.0
,"Laurel County, KY","21125",707,188742,374.6,347.0,402.2,14.1
,"Lawrence County, KY","21127",176,48399,363.6,309.9,417.4,27.4
,"Lee County, KY","21129",82,22005,372.6,296.4,462.5,41.2
,"Leslie County, KY","21131",139,30235,459.7,383.3,536.2,39.0
,"Letcher County, KY","21133",278,62569,444.3,392.1,496.5,26.6
,"Lewis County, KY","21135",164,38914,421.4,356.9,485.9,32.9
,"Lincoln County, KY","21137",287,73379,391.1,345.9,436.4,23.1
,"Livingston County, KY","21139",154,26814,574.3,483.6,665.0,46.3
,"Logan County, KY","21141",336,83931,400.3,357.5,443.1,21.8
,"Lyon County, KY","21143",136,27091,502.0,417.6,586.4,43.0
,"McCracken County, KY","21145",705,202372,348.4,322.7,374.1,13.1
,"McCreary County, KY","21147",212,50643,418.6,362.3,475.0,28.8
,"McLean County, KY","21149",96,27259,352.2,285.3,430.1,35.9
,"Madison County, KY","21151",687,286588,239.7,221.8,257.6,9.1
,"Magoffin County, KY","21153",134,34082,393.2,326.6,459.7,34.0
,"Marion County, KY","21155",160,59334,269.7,227.9,311.4,21.3
,"Marshall County, KY","21157",379,95269,397.8,357.8,437.9,20.4
,"Martin County, KY","21159",136,33163,410.1,341.2,479.0,35.2
,"Mason County, KY","21161",232,50702,457.6,398.7,516.5,30.0
,"Meade County, KY","21163",208,90263,230.4,199.1,261.8,16.0
,"Menifee County, KY","21165",91,18730,485.9,391.2,596.5,50.9
,"Mercer County, KY","21167",251,68849,364.6,319.5,409.7,23.0
,"Metcalfe County, KY","21169",126,31201,403.8,333.3,474.3,36.0
,"Monroe County, KY","21171",176,33894,519.3,442.5,596.0,39.1
,"Montgomery County, KY","21173",285,85113,334.8,296.0,373.7,19.8
,"Morgan County, KY","21175",142,42223,336.3,281.0,391.6,28.2
,"Muhlenberg County, KY","21177",448,91717,488.5,443.2,533.7,23.1
,"Nelson County, KY","21179",369,142220,259.5,233.0,285.9,13.5
,"Nicholas County, KY","21181",78,23203,336.2,265.7,419.5,38.1
,"Ohio County, KY","21183",316,70841,446.1,396.9,495.3,25.1
,"Oldham County, KY","21185",345,208299,165.6,148.1,183.1,8.9
,"Owen County, KY","21187",142,33897,418.9,350.0,487.8,35.2
,"Owsley County, KY","21189",67,11883,563.8,437.0,716.0,68.9
,"Pendleton County, KY","21191",167,44093,378.7,321.3,436.2,29.3
,"Perry County, KY","21193",434,82423,526.6,477.0,576.1,25.3
,"Pike County, KY","21195",754,169650,444.4,412.7,476.2,16.2
,"Powell County, KY","21197",163,39188,415.9,352.1,479.8,32.6
,"Pulaski County, KY","21199",725,197409,367.3,340.5,394.0,13.6
,"Robertson County, KY","21201",50,6799,735.4,545.8,969.5,104.0
,"Rockcastle County, KY","21203",215,48547,442.9,383.7,502.1,30.2
,"Rowan County, KY","21205",185,73658,251.2,215.0,287.4,18.5
,"Russell County, KY","21207",230,54613,421.1,366.7,475.6,27.8
,"Scott County, KY","21209",433,177519,243.9,220.9,266.9,11.7
,"Shelby County, KY","21211",372,146862,253.3,227.6,279.0,13.1
,"Simpson County, KY","21213",219,59862,365.8,317.4,414.3,24.7
,"Spencer County, KY","21215",149,60651,245.7,206.2,285.1,20.1
,"Taylor County, KY","21217",305,79085,385.7,342.4,428.9,22.1
,"Todd County, KY","21219",143,37183,384.6,321.5,447.6,32.2
,"Trigg County, KY","21221",211,42893,491.9,425.5,558.3,33.9
,"Trimble County, KY","21223",94,25676,366.1,295.8,448.0,37.8
,"Union County, KY","21225",153,39611,386.3,325.1,447.5,31.2
,"Warren County, KY","21227",1056,419284,251.9,236.7,267.0,7.8
,"Washington County, KY","21229",142,36400,390.1,325.9,454.3,32.7
,"Wayne County, KY","21231",237,58801,403.1,351.7,454.4,26.2
,"Webster County, KY","21233",160,38265,418.1,353.3,482.9,33.1
,"Whitley County, KY","21235",508,110637,459.2,419.2,499.1,20.4
,"Wolfe County, KY","21237",150,19189,781.7,656.6,906.8,63.8
,"Woodford County, KY","21239",215,81405,264.1,228.8,299.4,18.0
,"Acadia Parish, LA","22001",800,170521,469.2,436.6,501.7,16.6
,"Allen Parish, LA","22003",201,67119,299.5,258.1,340.9,21.1
,"Ascension Parish, LA","22005",892,390459,228.4,213.5,243.4,7.6
,"Assumption Parish, LA","22007",279,61453,454.0,400.7,507.3,27.2
,"Avoyelles Parish, LA","22009",574,116395,493.1,452.8,533.5,20.6
,"Beauregard Parish, LA","22011",358,109981,325.5,291.8,359.2,17.2
,"Bienville Parish, LA","22013",161,37783,426.1,360.3,491.9,33.6
,"Bossier Parish, LA","22015",1158,388215,298.3,281.1,315.5,8.8
,"Caddo Parish, LA","22017",2349,688503,341.2,327.4,355.0,7.0
,"Calcasieu Parish, LA","22019",2479,611461,405.4,389.5,421.4,8.1
,"Caldwell Parish, LA","22021",215,28514,754.0,653.2,854.8,51.4
,"Cameron Parish, LA","22023",51,14750,345.8,257.4,454.6,48.4
,"Catahoula Parish, LA","22025",127,25785,492.5,406.9,578.2,43.7
,"Claiborne Parish, LA","22027",179,41452,431.8,368.6,495.1,32.3
,"Concordia Parish, LA","22029",294,54180,542.6,480.6,604.7,31.6
,"De Soto Parish, LA","22031",290,80886,358.5,317.3,399.8,21.1
,"East Baton Rouge Parish, LA","22033",4117,1352312,304.4,295.1,313.7,4.7
,"East Carroll Parish, LA","22035",74,21039,351.7,276.2,441.6,40.9
,"East Feliciana Parish, LA","22037",301,57702,521.6,462.7,580.6,30.1
,"Evangeline Parish, LA","22039",350,95955,364.8,326.5,403.0,19.5
,"Franklin Parish, LA","22041",464,58261,796.4,723.9,868.9,37.0
,"Grant Parish, LA","22043",216,66147,326.5,283.0,370.1,22.2
,"Iberia Parish, LA","22045",872,204961,425.4,397.2,453.7,14.4
,"Iberville Parish, LA","22047",324,88947,364.3,324.6,403.9,20.2
,"Jackson Parish, LA","22049",207,44461,465.6,402.2,529.0,32.4
,"Jefferson Parish, LA","22051",4047,1281349,315.8,306.1,325.6,5.0
,"Jefferson Davis Parish, LA","22053",438,95924,456.6,413.8,499.4,21.8
