"","Tau (M0)","Tau (M1)","%-Change in Tau","Phi (M0)","Phi (M1)","%-Change in Phi","1/Tau (M0)","1/Tau (M1)","%-Change in 1/Tau","Spatial Var (M0)","Spatial Var (M1)","%-Change in Spatial Var"
"CA",41.22,52.32,26.9,0.11,0.09,-18.2,0.024,0.019,-21.2,0.003,0.002,-35.5
"GA",23.59,39.88,69.1,0.09,0.07,-22.2,0.042,0.025,-40.8,0.004,0.002,-54
"TX",20.63,27.9,35.2,0.03,0.04,33.3,0.048,0.036,-26.1,0.001,0.001,-1.4
