"","Tau (M0)","Tau (M1)","%-Change in Tau","Phi (M0)","Phi (M1)","%-Change in Phi","1/Tau (M0)","1/Tau (M1)","%-Change in 1/Tau","Spatial Var (M0)","Spatial Var (M1)","%-Change in Spatial Var"
"CA",2.3,7,204.3,0.18,0.2,11.1,0.435,0.143,-67.1,0.078,0.029,-63.5
"GA",1088.24,5.34,-99.5,0.37,0.08,-78.4,0.001,0.187,20279,0,0.015,4306.3
"TX",756.26,7.07,-99.1,0.42,0.08,-81,0.001,0.141,10596.7,0.001,0.011,1937.5
