"","Tau (M0)","Tau (M1)","%-Change in Tau","Phi (M0)","Phi (M1)","%-Change in Phi","1/Tau (M0)","1/Tau (M1)","%-Change in 1/Tau","Spatial Var (M0)","Spatial Var (M1)","%-Change in Spatial Var"
"CA",32.34,54.95,69.9,0.17,0.1,-41.2,0.031,0.018,-41.1,0.005,0.002,-65.4
"GA",28.99,47.94,65.4,0.07,0.05,-28.6,0.034,0.021,-39.5,0.002,0.001,-56.8
"TX",28.73,39.99,39.2,0.05,0.03,-40,0.035,0.025,-28.2,0.002,0.001,-56.9
